sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa-b::00871,"My wife and went to the movies in 1981. We saw the first movie. My wife did not like the second, Harold and Maude, and we left. Yesterday I saw the movie on DVR while my wife was at work.",1.0,content_diversity,I like it,I did not like it either,it was funny,it was not funny,it was not the same on tv,-0.123,0.845,-0.396,1.965,0.393,4.996,0.999,-0.371,5.397,0.899
test.sa-sb.sa-b::00871,"My wife and went to the movies in 1981. We saw the first movie. My wife did not like the second, Harold and Maude, and we left. Yesterday I saw the movie on DVR while my wife was at work.",0.0,content_diversity,I enjoy it,I like watching it,it was fun to watch,watching it was enjoyable,I have a good time watching the movie,-0.073,0.912,-0.464,1.974,0.395,4.291,0.858,-0.744,9.338,0.849
test.sa-sb.sa-b::00842,The girl got out of bed. She checked her alarm clock. She still had time before work. She set the alarm.,0.0,content_diversity,she fell back asleep,she returned to sleep,she is sleeping some more,she sleeps again,she returns to her slumber,-0.053,0.952,-0.472,1.493,0.299,4.806,0.961,-0.850,8.507,0.945
test.sa-sb.sa-b::00823,Lance was ready to make it on the baseball team. He was currently in his try out. He needed to put on a good performance. Lance was going to prove he belong.,0.0,content_diversity,he performs well,he plays very well,he shows what he is capable of,he was one of the one who plays better at the try out,he was great that day,-0.061,0.924,-0.347,1.880,0.376,4.648,0.930,-0.682,10.937,0.841
test.sa-sb.sa-b::00862,Donald started running for president. He eventually gets elected to be president. On his very first days in office he makes many changes. One of the first changes he makes is building a huge wall.,1.0,content_diversity,this is about donald trump,"some likes it, some do not",many do not like this wall,it was a good wall,I could care less about that well,-0.020,0.950,-0.057,2.331,0.466,4.952,0.990,-0.204,9.282,0.714
test.sa-sb.sa-b::00849,Seth and his friends are bored on a weekend day. They are all coming up with ideas of what to do. Seth asks his friends if they wanna go play basketball. They all agree to the idea.,1.0,content_diversity,Seth thought he would be the MVP.,Seth was ready to show of his skills.,Seth is the only one who shows up.,They went to the public court and set up a game against strangers.,Seth and his friends lost the game.,-0.041,0.949,-0.323,1.936,0.387,4.974,0.995,-0.337,8.367,0.322
test.sa-sb.sa-b::00884,John knew how to do almost everything. He did not know how to swim though. John wanted to learn so he took lessons. Eventually John learned how to swim.,1.0,content_diversity,he loves swimming then,he plays water polo,he learns to scuba dive too,he became a water man,next he learns to surf,-0.069,0.906,-0.320,1.971,0.394,4.997,0.999,-0.463,11.039,0.788
test.sa-sb.sa-b::00884,John knew how to do almost everything. He did not know how to swim though. John wanted to learn so he took lessons. Eventually John learned how to swim.,0.0,content_diversity,he likes swimming,he became a swimming lover,he enjoy swimming,he has a good time swimming,swimming became one of his favorite,-0.084,0.922,-0.416,2.085,0.417,4.143,0.829,-0.860,9.536,0.681
test.sa-sb.sa-b::00888,Kate was using a service to find an apartment for her. They informed her they had 12 units in her price range. But when she arrived they had bad news. They had only found three.,1.0,content_diversity,"Luckily, she loved one of them and rented it.",She hated all of them and had to come back another day.,She fired the service and hired another one.,She decided to find a rental without a service.,She was very unhappy and yelled at them.,-0.049,0.924,-0.295,2.315,0.463,4.999,1.000,-0.314,10.231,0.379
test.sa-sb.sa-b::00888,Kate was using a service to find an apartment for her. They informed her they had 12 units in her price range. But when she arrived they had bad news. They had only found three.,0.0,content_diversity,She really liked the first apartment and signed a lease.,Kate was happy with one of the three apartments.,Kate thought the first apartment was perfect and now she lives there.,Kate was pleased to discover that she actually liked one of the three.,"It worked out, though, because she was happy with the apartments they found and rented one.",-0.088,0.874,-0.411,2.399,0.480,4.903,0.981,-0.701,16.055,0.422
test.sa-sb.sa-b::00847,Sarah is on vacation in another country. She checks into her hotel room. When she gets to the room she sees something amazing. A diamond is laying on the floor in front of the bed.,0.0,content_diversity,Sarah keeps the diamond for herself.,Sarah chose to keep the diamond.,Sarah picked up the diamond and hid it away.,The diamond was now hers.,Sarah placed the diamond in her pocket.,-0.087,0.918,-0.520,1.972,0.394,4.973,0.995,-0.541,9.663,0.439
test.sa-sb.sa-b::00866,I grabbed a glass from the cabinet. Then I sliced a lemon and some cucumber to place in the glass. I poured water into the glass. I sighed after taking a big sip.,1.0,content_diversity,The water was refreshing.,The lemon and cucumber made the water taste better.,It really hit the spot.,Adding lemon and cucumber gave the water some nutrients.,I did not like the taste.,-0.049,0.909,-0.347,2.288,0.458,4.818,0.964,-0.345,9.542,0.398
test.sa-sb.sa-b::00866,I grabbed a glass from the cabinet. Then I sliced a lemon and some cucumber to place in the glass. I poured water into the glass. I sighed after taking a big sip.,0.0,content_diversity,The water was crisp and cool.,The water felt great.,The water went down smoothly.,It felt great after taking such a big sip.,My throat felt cool after taking the sip.,-0.069,0.902,-0.432,1.980,0.396,4.979,0.996,-0.533,9.197,0.383
test.sa-sb.sa::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,1.0,content_diversity,Tammy has lost everything because of her addiction.,Tammy's family tried to get her help but she refused treatment.,Tammy is convinced she'll hit it big someday and will never have to work again.,Tammy's family is thinking about an intervention because every part of Tammy's life is affected.,Tammy is oblivious to everything falling apart around her from her gambling addiction.,-0.039,0.938,-0.303,2.082,0.416,4.220,0.844,-0.434,21.271,0.483
test.sa-sb.sa::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,0.0,content_diversity,Tammy is so addicted to gambling that she lost her children in her divorce but refuses treatment.,Tammy lost her house to foreclosure and still doesn't think she needs get help for her addiction.,Tammy's addiction to gambling has also turned her into an alcoholic but she doesn't realize it.,Tammy continues to deny that she has a problem even though she's lost everything she cared about.,Tammy needs to get help before she becomes a prostitute for gambling money but she won't.,-0.073,0.910,-0.354,2.177,0.435,4.762,0.952,-0.594,26.146,0.503
test.sa-sb.sa::00681,Sean's car started overheating. He remembered a trick to cool it down. He turned on his heater to max. It helped keep the car going until he got to a mechanic.,0.0,content_diversity,Sean decided to replace his old car with a new one,He purchased another car,"After that incident, he decided it's time to get a new car","To avoid problems in future, he decided to buy a new car",He replaced his old vehicle with a new one,-0.094,0.857,-0.505,2.692,0.538,4.923,0.985,-0.592,17.379,0.561
test.sa-sb.sa::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,Car has hit a tree and she bumped into the seat in front of her,Driver lost control of the vehicle and bumped in the tree,She felt braking and could see car crashed in the tree,"Suddenly, she felt strong force and she was on the floor",She felt someone pulling the handbrake as they were crashing in the tree,-0.089,0.899,-0.326,1.981,0.396,4.560,0.912,-0.521,21.135,0.682
test.sa-sb.sa::00683,Ben is in his favorite store. He decides to buy some apples. He takes them home and washes them. After washing them he bites into the apple.,1.0,content_diversity,Apple was so hard that his tooth fell out,It was the most delicious apple Ben has ever tried,Apple was very old and tasted very bad,His sister saw him eating an apple and asked if she can get one,All apples looked so delicious that he decided to take a photo and post it on instagram,-0.022,0.962,-0.128,2.215,0.443,4.772,0.954,-0.534,14.420,0.515
test.sa-sb.sa::00683,Ben is in his favorite store. He decides to buy some apples. He takes them home and washes them. After washing them he bites into the apple.,0.0,content_diversity,Apple was extraordinary delicious,"When he tried apple, he was surprised with its flavour",It tasted extremely good,This apple was the best fruit he has ever tried,Taste of the apple was extremely delicious,-0.037,0.936,-0.295,2.882,0.576,4.604,0.921,-0.671,13.422,0.671
test.sa-sb.sa::00685,My sister-in-law B loved to nibble on raw hamburger. One day we were on vacation together. B made hamburgers for us. Later at night she had stomach cramps.,0.0,content_diversity,B spent three days in the hospital.,They sent her home that evening and told her no more raw burger meat.,The ER doctors were unimpressed when they heard B had eaten raw meat.,She was so embarrassed that this happened.,It ruined our entire vacation.,-0.007,0.978,-0.282,2.551,0.510,4.644,0.929,-0.135,15.798,0.527
test.sa-sb.sa::00687,Jake never cooked dinner. He thought he would surprise his girlfriend. He looked up online how to cook a fancy dinner. Jake only messed up small parts of it.,1.0,content_diversity,Jake really wanted to show his girlfriend some fancy moves in the kitchen and she was delighted.,Jake should have chosen some easier recipes but at least he still got something on the table.,Jake's first dinner looked good but he did something wrong with the seasonings and it didn't taste good.,"Jake's girlfriend was so surprised, and loved the meal then told him she would cook next time.",Jake was so proud of himself for persevering and decided he would do this a lot more.,-0.034,0.949,-0.267,2.661,0.532,4.980,0.996,-0.427,29.595,0.558
test.sa-sb.sa::00688,Kevin always wanted to be a writer. He decided he wanted to write just like his favorite author. He spent years perfecting his style. He was invited to read at a rally attended by his favorite author.,1.0,content_diversity,Kevin was honored to do so.,Kevin was scared on reading in large groups.,Kevin was worried about his excerpt.,Kevin was a naturally shy person.,Kevin was being too bashful.,-0.105,0.918,-0.344,1.820,0.364,4.910,0.982,-0.495,9.628,0.458
test.sa-sb.sa::00688,Kevin always wanted to be a writer. He decided he wanted to write just like his favorite author. He spent years perfecting his style. He was invited to read at a rally attended by his favorite author.,0.0,content_diversity,Kevin was shocked by the invitation.,Kevin was proud of his achievements.,Kevin was glad that his hard work paid off.,Kevin couldnt believe it.,Kevin knew he wanted to do it.,-0.058,0.935,-0.428,1.921,0.384,4.702,0.940,-0.560,9.018,0.429
